Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,55174,2315,48070,4786,53,4.36,86.96,5.01,38928341,1417.0,54854,320,0.58
Albania,80941,1313,49046,30579,1007,1.73,60.49,2.87,2877800,28126.0,74567,6374,8.55
Algeria,108116,2809,74028,31276,275,2.68,68.39,3.92,43851043,2466.0,106359,1757,1.65
Andorra,10070,12,9401,654,53,1.02,92.48,1.11,77265,130331.0,9716,354,3.64
Angola,19937,379,18423,1132,37,2.36,91.96,2.56,32866268,607.0,19580,357,1.82
Antigua and Barbuda,249,-84,267,63,0,2.81,71.89,3.91,97928,2543.0,215,34,15.81
Argentina,1952744,48448,1745296,158997,9196,2.49,89.37,2.78,45195777,43206.0,1896053,56691,2.99
Armenia,167421,3005,158781,5632,190,1.85,94.79,1.95,2963234,56499.0,166427,994,0.6
Australia,28838,818,26167,1850,9,3.15,90.43,3.49,50919400,566.0,28794,44,0.15
Austria,418283,7811,396797,13672,1520,1.89,94.84,1.99,9006400,46443.0,408781,9502,2.32
Azerbaijan,230617,3054,224256,3304,162,1.36,97.2,1.4,10139175,22745.0,229584,1033,0.45
Bahamas,8231,85,6895,1248,8,2.14,82.7,2.59,393248,20931.0,8161,70,0.86
Bahrain,104792,285,99615,4889,553,0.36,94.98,0.38,1701583,61585.0,101116,3676,3.64
Bangladesh,536545,8071,481394,47077,438,1.52,89.7,1.7,164689383,3258.0,533444,3101,0.58
Barbados,1611,-77,1326,359,25,0.87,76.85,1.13,287371,5606.0,1443,168,11.64
Belarus,251705,1655,239279,10768,1711,0.69,95.03,0.73,9449321,26637.0,241133,10572,4.38
Belgium,716395,21125,88,695179,3124,2.96,0.0,9.622765957446807,23021022,31119.0,699662,16733,2.39
Belize,11978,215,11501,259,21,2.55,95.28,2.68,397621,30124.0,11816,162,1.37
Benin,4119,-37,3640,513,226,1.31,86.23,1.52,12123198,340.0,3786,333,8.8
Bhutan,859,-90,935,11,0,0.12,98.6,0.12,771612,1113.0,856,3,0.35
Bolivia,222447,10480,163426,48538,2021,4.75,73.43,6.47,11673029,19056.0,208074,14373,6.91
Bosnia and Herzegovina,122828,4654,96184,21987,367,3.86,78.24,4.94,3280815,37438.0,120864,1964,1.62
Botswana,22738,57,18556,4122,0,0.65,81.22,0.8,2351625,9669.0,20658,2080,10.07
Brazil,9339420,227472,8311969,799976,56002,2.44,89.0,2.74,422706534,22094.0,8996876,342544,3.81
Brunei,180,-88,258,7,0,1.67,94.44,1.76,437483,411.0,176,4,2.27
Bulgaria,221266,9127,191640,20496,719,4.17,86.57,4.81,6948445,31844.0,217014,4252,1.96
Burkina Faso,10958,36,9773,1146,54,1.16,88.38,1.31,20903278,524.0,10217,741,7.25
Burma,140927,3069,126472,11383,573,2.24,89.68,2.5,54409800,2590.0,138802,2125,1.53
Burundi,1664,-89,861,889,23,0.12,46.45,0.26,11890781,140.0,1542,122,7.91
Cabo Verde,14214,44,13489,678,62,0.95,94.28,1.01,555988,25565.0,13722,492,3.59
Cambodia,467,-91,539,16,1,0.0,96.57,0.0,16718971,28.0,460,7,1.52
Cameroon,30313,383,28133,1794,0,1.56,92.52,1.69,26545864,1142.0,29617,696,2.35
Canada,794412,20270,726346,47793,3267,2.56,91.42,2.8,75750184,10487.0,765871,28541,3.73
Central African Republic,4989,-28,4973,41,0,1.26,97.92,1.29,4829764,1033.0,4980,9,0.18
Chad,3419,30,2632,754,15,3.54,74.41,4.76,16425859,208.0,3269,150,4.59
Chile,736645,18485,695048,23109,2610,2.52,94.34,2.67,36692988,20076.0,709888,26757,3.77
China,100226,4730,93368,2125,49,4.81,93.07,5.17,2809352660,36.0,99655,571,0.57
Colombia,2125622,54786,1989046,81787,11025,2.58,93.57,2.76,99141018,21440.0,2055305,70317,3.42
Comoros,2892,13,2148,728,44,3.6,71.23,5.05,869595,3326.0,2492,400,16.05
Congo (Brazzaville),7887,26,5934,1924,0,1.48,74.12,2.0,89561403,88.0,7887,0,0.0
Congo (Kinshasa),23182,584,15138,7457,139,2.91,64.92,4.49,5518087,4201.0,22178,1004,4.53
Costa Rica,195537,2559,155133,37842,528,1.36,79.29,1.71,5094114,38385.0,192066,3471,1.81
Cote d'Ivoire,28739,67,27048,1621,132,0.55,93.81,0.59,26378274,1089.0,27455,1284,4.68
Croatia,233637,4997,225711,2926,730,2.18,96.57,2.26,4105268,56912.0,230359,3278,1.42
Cuba,29529,129,23782,5615,893,0.75,80.24,0.93,11326616,2607.0,23439,6090,25.98
Cyprus,31263,112,2145,29003,139,0.65,6.58,9.87,1207361,25894.0,30380,883,2.91
Czechia,1003657,16592,894019,93043,9143,1.66,89.07,1.87,10708981,93721.0,956155,47502,4.97
Denmark,200466,2080,190538,7845,425,1.08,95.0,1.14,5897840,33990.0,197224,3242,1.64
Diamond Princess,712,-78,787,0,0,1.83,98.17,1.86,0,18617.50526315789,712,0,0.0
Djibouti,5936,-28,5936,25,1,1.06,98.52,1.08,988002,6008.0,5926,10,0.17
Dominica,121,-91,198,11,0,0.0,90.91,0.0,71991,1681.0,113,8,7.08
Dominican Republic,217277,2628,160452,54194,1357,1.25,73.81,1.7,10847904,20029.0,207455,9822,4.73
Ecuador,252390,14858,209902,27627,1111,5.92,83.13,7.12,17643060,14305.0,243535,8855,3.64
Egypt,167525,9369,131000,27153,512,5.65,78.14,7.23,102334403,1637.0,163761,3764,2.3
El Salvador,55623,1555,49686,4379,428,2.96,89.17,3.32,6486201,8576.0,53989,1634,3.03
Equatorial Guinea,5534,-5,5388,148,0,1.55,95.77,1.62,1402985,3944.0,5492,42,0.76
Eritrea,2309,-84,1771,619,42,0.3,72.89,0.42,3546427,651.0,2085,224,10.74
Estonia,45663,342,35765,9553,685,0.95,78.13,1.21,1326539,34423.0,41966,3697,8.81
Eswatini,15974,494,11087,4390,96,3.66,68.86,5.32,1160164,13769.0,15051,923,6.13
Ethiopia,139408,2031,124076,13298,547,1.52,88.94,1.71,114963583,1213.0,135045,4363,3.23
Fiji,56,-89,141,1,1,3.57,94.64,3.77,896444,62.0,55,1,1.82
Finland,46049,594,31088,14364,265,1.49,67.32,2.21,5540718,8311.0,43616,2433,5.58
France,3310051,77650,234766,2997632,26406,2.35,7.09,33.13,68151730,48569.0,3165449,144602,4.57
Gabon,11129,-21,10648,499,177,0.63,94.89,0.66,2225728,5000.0,10536,593,5.63
Gambia,4184,41,3964,176,45,3.15,92.64,3.41,2416664,1731.0,4019,165,4.11
Georgia,259897,3130,251165,5599,688,1.24,96.61,1.28,3989175,65151.0,255564,4333,1.7
Germany,2252504,59685,2003919,188897,12487,2.65,88.96,2.98,166803158,13504.0,2179679,72825,3.34
Ghana,68559,342,62428,5786,777,0.63,90.93,0.69,31072945,2206.0,62751,5808,9.26
Greece,159866,5787,93852,60224,1150,3.68,58.65,6.27,10423056,15338.0,154083,5783,3.75
Grenada,148,-90,234,1,0,0.68,98.65,0.68,112519,1315.0,148,0,0.0
Guatemala,160966,5645,146803,8515,667,3.56,91.15,3.91,17915567,8985.0,156497,4469,2.86
Guinea,14555,-8,14316,244,0,0.57,97.75,0.58,13132792,1108.0,14435,120,0.83
Guinea-Bissau,2662,-46,2515,190,28,1.69,91.17,1.85,1967998,1353.0,2532,130,5.13
Guyana,7714,86,6850,775,36,2.29,87.66,2.62,786559,9807.0,7380,334,4.53
Haiti,11672,154,9202,2313,82,2.1,78.08,2.69,11402533,1024.0,11286,386,3.42
Holy See,27,-91,103,12,0,0.0,55.56,0.0,809,33375.0,27,0,0.0
Honduras,151103,3571,61372,86157,2152,2.42,40.56,5.98,9904608,15256.0,144007,7096,4.93
Hungary,370336,12648,272372,85313,1048,3.44,73.52,4.68,9660350,38336.0,361881,8455,2.34
Iceland,6013,-62,6034,38,2,0.48,98.89,0.49,341250,17621.0,6000,13,0.22
India,10790183,154612,10480543,155025,12899,1.43,97.13,1.48,2751341248,3922.0,10701193,88990,0.83
Indonesia,1111671,30679,905753,175236,11984,2.77,81.47,3.4,273523621,4064.0,1024298,87373,8.53
Iran,1438286,58098,1229479,150706,6870,4.05,85.48,4.73,83992953,17124.0,1392314,45972,3.3
